Activity.Therapeutic area_Immunology,Activity.Therapeutic area_Neurology,Activity.Therapeutic area_Others,Project.Legal entity (Plant)_BE11,Project.Legal entity (Plant)_CN01,Project.Legal entity (Plant)_DE10,Project.Legal entity (Plant)_GB01,Project.Legal entity (Plant)_JP01,Project.Legal entity (Plant)_Others,Project.Legal entity (Plant)_US05,Project.Responsibility_Medical Affairs.1,Project.Responsibility_Others,Project.Responsibility_PVU Immunology,Project.Responsibility_PVU Neurology,Project.Responsibility_PVU New Medicines,Project.Responsibility_SPEAR,Project.Impact on patient_Direct impact on patients,Project.Impact on patient_Others,Project.Impact on patient_false,Project.R&D Priority_Core,Project.R&D Priority_Focused,Project.R&D Priority_Platinum,Project.R&D Priority_false,Activity.Number of patients,Activity.Number of sites,Activity.Nb of target countries,Activity.Duration,indication,OUTPUT
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,650.0,180.0,20.0,2348640.0,2,29.4
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,840.0,125.0,5.0,5034240.0,1,0.375
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,473.0,68.0,2.0,3651840.0,2,59.65
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,700.0,69.0,5.0,2871360.0,1,5.0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,108.0,58.0,12.0,3998880.0,2,70.44
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,300.0,91.0,12.0,5667840.0,3,115.7
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,203.0,44.0,11.0,3032640.0,1,5.1
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,60.0,10.0,5.0,1189440.0,1,0.75
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,33.0,15.0,6.0,2096640.0,3,165.85
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,869.0,219.0,1.0,5227200.0,2,38.85
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,24.0,1.0,1.0,2446560.0,1,4.0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,39.0,1.0,1.0,1455840.0,2,36.225
